,M 1,M 2,M 3,M 4,M 5,M 6,M 7,M 8,M 9,M 10,M 11,M 12,M 13
123,-0.0986541,0.583349427,0.082872046,1.779095638,-0.048882218,0.335044821,0.537444755,-1.325608573,-0.872402539,0.188277382,-0.790021746,-1.041981011,NA
124,0.349970337,0.648547536,-0.157362185,1.780895527,0.13861445,0.363645414,0.670185814,-1.278349722,-0.981895036,0.0415639,-0.795647305,-1.040689179,NA
125,0.349970337,0.465694211,-0.351137261,1.775439784,0.010332769,0.413634493,0.744193027,-1.342935826,-0.858222602,0.155220023,-0.509509038,-1.062299453,NA
126,0.682404837,-0.340637352,-0.404485828,1.942769686,-0.009899235,0.439000517,0.630524497,-1.334760688,-0.907667068,-0.034213958,-0.615605631,-1.102682663,NA
127,0.764229531,-1.103901613,0.164166925,1.897386796,-0.270920749,0.133067824,0.381187959,-1.360496368,-0.741329915,-0.061416341,-0.442747243,-1.105508636,NA
128,0.132676944,-0.992376038,0.447859481,1.867387475,-1.015975799,0.151772562,0.133783818,-1.072887827,-0.675911042,-0.131765309,-0.117994625,-1.06674435,NA
129,0.464369305,-0.674814668,0.103093895,1.891075171,-1.052643664,0.151550603,0.140452064,-0.881632886,-0.674897345,-0.455649969,-1.043552976,-1.069994283,NA
130,0.277901647,-0.171669999,-0.119846653,1.966311093,-0.757756034,0.043799878,0.060607203,-0.866068102,-0.945579038,-0.539489577,-1.700251331,-1.07157967,NA
131,0.236127082,0.403083452,-0.354085524,1.987061263,-0.674092373,0.089878119,0.185081558,-0.620018659,-0.943440718,-0.409228314,-1.634965581,-0.955299471,NA
132,0.388660046,0.881514584,-0.260883845,2.076517695,-0.24609896,-0.361915073,0.289357161,-0.900603612,-1.13717342,-0.236661351,-1.785455466,-0.965179949,NA
133,0.183513461,0.568281517,-0.010531964,2.051618481,-0.095018777,-0.43473773,0.23135397,-1.132054414,-1.278877172,-0.01985369,-1.725700491,-0.861371197,NA
134,-0.168663886,0.398677225,-0.055213512,1.959705473,-0.222580957,-0.107266562,0.317273494,-1.157227835,-1.091006732,0.399533442,-1.799166441,-0.572310918,NA
135,-0.188246412,0.435735395,-0.20210884,2.088969101,-0.294256627,0.002592793,0.383022536,-1.31797604,-1.347007586,0.189955156,-1.826637907,-0.837008861,NA
136,0.034737706,0.271016392,-0.37339928,2.02500257,-0.355911506,0.402714736,0.383339774,-1.330590185,-1.277397372,0.211556158,-1.810143072,-0.807352349,NA
137,0.036882964,0.251436004,-0.37339928,1.955989603,-0.1959015,0.415132285,0.459748108,-1.370908269,-1.157008516,0.098751114,-1.675800659,-0.903433655,NA
138,0.185734729,0.734408519,-0.291956798,1.986233744,-0.29718317,0.46259465,0.44488526,-1.234204739,-1.217075779,-0.232111517,-1.533767108,-1.032884464,NA
